Title,Company,Location,Date Posted,Link,Short Description,Sub Classification,Classification,Work Arrangement,Job Type,Cluster
Full Stack Developer - Scientific Applications,Hypercube Scientific,Sydney NSW,,https://www.seek.com.au/job/90364930?type=promoted&ref=search-standalone&origin=jobCard#sol=d07403dc9e6a210aa81c8ac18833fdeb6019f4b4,"A science and data focused developer role working on bespoke, highly technical pieces of software. Some WFH.",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Python engineer - Generative AI (Mid-Level),Enterprise Ai,Sydney NSW,,https://www.seek.com.au/job/90323395?type=promoted&ref=search-standalone&origin=jobCard#sol=fef0d7f07384b85049b4ce1ab14ed80af1af2efe,Join a high-performing team building cutting-edge workflows with enmbedded generative models and drive innovation. Sydney based role.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,4
Python Data Engineer,Edge Stackers,Sydney NSW,Listed nineteen days ago,https://www.seek.com.au/job/90270821?type=standard&ref=search-standalone&origin=jobCard#sol=73a9da93b66aa56af3e8c592fc7ac2c51d94d24e,"Join our experienced, best in class, close-knit team. Our verified, robust and profitable track record is ready for scale.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Software Developer,Tassal Operations Pty Ltd,Sydney NSW,Listed twenty three hours ago,https://www.seek.com.au/job/90642364?type=standard&ref=search-standalone&origin=jobCard#sol=f8a78fce649ecda86f48dba23a070904ff28a487,"Developer role building modern apps, integrations and automation to drive digitisation across Australia’s leading seafood producer.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,4
Software Engineer,Ocius,Alexandria,Listed twenty three hours ago,https://www.seek.com.au/job/90642962?type=standard&ref=search-standalone&origin=jobCard#sol=e62a1d9a3bfbc4ae706e10027745cab76fc03e19,Engineer complex systems directly responsible for keeping uncrewed systems on-water and operational,Engineering - Software,(Information & Communication Technology),(Hybrid),,1
"Full Stack Software Engineer (React, Next.js, Python) - Agentic AI Startup",NinjaTech AI Australia Pty Ltd,Sydney NSW,Listed twenty five days ago,https://www.seek.com.au/job/90167744?type=standard&ref=search-standalone&origin=jobCard#sol=7fda70a81d69bd73f7bf42a99877e2f02a9ad928,"Full Stack Engineer (onsite) at our Sydney office: 5+ years of Frontend and Backend experience: React, Next.js and Python experience required.",Developers/Programmers,(Information & Communication Technology),,This is a Full time job,0
Software Engineer,Fyndr Group,Chatswood,Listed fourteen days ago,https://www.seek.com.au/job/90364113?type=standard&ref=search-standalone&origin=jobCard#sol=e9434aa0355ca0c7621b96fb4215ccbbe5818e8c,"Software Engineer role focused on rule-based systems, deep data investigation, SQL, Python, and production fixes in revenue audit platforms.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,1
"Senior Developer (Python, Django, React)",Peoplebank Australia NSW,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90134502?type=standard&ref=search-standalone&origin=jobCard#sol=fb4483eb4167a96b23810cb0e3098e0034eae3cc,"Senior Developer (Python, Django, React) — state government organization   URGENT 2.5-Month (80 days) Contract   Competitive Remuneration",Developers/Programmers,(Information & Communication Technology),(Hybrid),,2
Data Engineer,FinXL IT Professional Services,Sydney NSW,Listed twenty three hours ago,https://www.seek.com.au/job/90643477?type=standard&ref=search-standalone&origin=jobCard#sol=ea9a1163167b479206ea2c1322560e5e3880c673,FinXL IT is seeking an experienced Data Engineer to join our team at a leading financial services organisation. Initial 12 months max-term contract.,Programme & Project Management,(Information & Communication Technology),(Hybrid),,2
AI Engineer (Data Science),DeVision Recruitment,Sydney NSW,Listed nineteen hours ago,https://www.seek.com.au/job/90651694?type=standard&ref=search-standalone&origin=jobCard#sol=166fb63e3aa894ec5cd106edf2d30062200b56c3,Senior and Staff AI Engineers (Data Science) to join hyper growth AI company that builds Agentic Agents. Scaling globally and multiple positions!,Database Development & Administration,(Information & Communication Technology),(Remote),This is a Full time job,0
Data & Automation Engineer,Deloitte,Sydney NSW,Listed twelve days ago,https://www.seek.com.au/job/90424354?type=standard&ref=search-standalone&origin=jobCard#sol=610893dcb1884ab46e3588dd78bc6f40f30ee470,Data & Automation Engineer,Web Development & Production,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Software Engineer (Full Stack),One Playground,Surry Hills,Listed seven days ago,https://www.seek.com.au/job/90513028?type=standard&ref=search-standalone&origin=jobCard#sol=476b934a57e4d20b001048814b2b8ffdb3ebde18,Work with purpose. Build meaningful tech that supports our mission to inspire change and creates better experiences for our members and the people who,Developers/Programmers,(Information & Communication Technology),,This is a Full time job,0
Software Engineer,Real Time,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90124842?type=standard&ref=search-standalone&origin=jobCard#sol=7b89a01ae529a74aba6fd295ca026b3b17d78c12,Want to work with one of the hottest new companies in the world? They'd love to set you up in San Francisco with the opportunity of a life time ⏩,Engineering - Software,(Information & Communication Technology),,This is a Full time job,0
Software Developer,MVSI OnBoard,North Sydney,Listed one hour ago,https://www.seek.com.au/job/90672407?type=standard&ref=search-standalone&origin=jobCard#sol=5a4769ac1faec7f8316892f20fbaa298003570c2,"Senior MERN/AWS Engineer building scalable SaaS, modernising systems, owning DevOps, and driving reliability, security & performance.",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,4
Senior Software Engineer - Python,The Onset,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90324504?type=standard&ref=search-standalone&origin=jobCard#sol=97bed4d36cb56728431722997d206af56570dfb9,"Shaping how global organisations verify identity, prevent fraud, and connect data at scale.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Senior Developer x 2 - 3 month contracts,Genesis IT Recruitment,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90116133?type=standard&ref=search-standalone&origin=jobCard#sol=95a4fb3329542618453e86573490a170e7dece2a,"Develop and maintain Python/Django/React platforms around cyber, including testing, code reviews, documentation and secure operations - APPLY NOW",Developers/Programmers,(Information & Communication Technology),(Hybrid),,1
Software Engineer,Microsoft,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90583336?type=standard&ref=search-standalone&origin=jobCard#sol=59b78a1f968444fdd74fad956262fdc09de0e270,This role offers the opportunity to make meaningful contributions daily on a hyperscale system that may be part of your friends’ and family’s everyday,Engineering - Software,(Information & Communication Technology),,This is a Full time job,2
Web Software Developer,Studiosity,St Leonards,Listed twenty four days ago,https://www.seek.com.au/job/90180029?type=standard&ref=search-standalone&origin=jobCard#sol=32e7a7d2246c78d241f0e9ec7edeb000d3064a5e,"Develop world class front end or back end web software to improve student outcomes, everywhere.",Web Development & Production,(Information & Communication Technology),(Remote),This is a Full time job,0
Software Engineer,Microsoft,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90583237?type=standard&ref=search-standalone&origin=jobCard#sol=3486847135986dee5167c4a0434c1639e0c1d417,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Software Engineer - Enterprise AI Enablement,TEKsystems,Sydney NSW,Listed twenty five days ago,https://www.seek.com.au/job/90153672?type=standard&ref=search-standalone&origin=jobCard#sol=3000c00b5886f726bc742b5e2352e0cbd78b0ad9,"software engineer, python engineer, python developer, software developer, ai engineer",Engineering - Software,(Information & Communication Technology),(Hybrid),,4
"X2 Senior Software Engineers- AI (Python,TypeScript, C++)",Novus,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90262785?type=standard&ref=search-standalone&origin=jobCard#sol=542033d3db249d4331199c050467aeb8e24b6923,"AI assisted development is a core part of how engineering works, using tools such as Copilot, Claude and Cursor.",Engineering - Software,(Information & Communication Technology),,This is a Full time job,0
AI Full Stack Engineer,The Onset,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90615752?type=standard&ref=search-standalone&origin=jobCard#sol=58068787baa634ee744b6db9e11f7f6a2c64ac39,"Shape how AI powers a platform used by over a million people globally in an operationally serious, ethically guided, and scaling fast company.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,0
AI Engineer,PRA,Sydney NSW,Listed ten days ago,https://www.seek.com.au/job/90459257?type=standard&ref=search-standalone&origin=jobCard#sol=d08fcd411a2a32820d9e7d1441a051eac5129c3e,Senior AI Engineer building production-grade AI agents in Python. Own full lifecycle. High impact. Bonus + premium perks.,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Software Engineer,Microsoft,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90583088?type=standard&ref=search-standalone&origin=jobCard#sol=9c411232dd7831d84903c577509d600802a4adc0,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Senior Developer,Indigeco Pty Ltd,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90117248?type=standard&ref=search-standalone&origin=jobCard#sol=0dbe3a30bdf766d6710b072bbf9064a93dafd941,An NSW Government agency is seeking two experienced Senior Developers to support Cyber Security NSW,Developers/Programmers,(Information & Communication Technology),,,2
Quantitative Software Engineer,Expertech,Sydney NSW,Listed twenty four days ago,https://www.seek.com.au/job/90179417?type=standard&ref=search-standalone&origin=jobCard#sol=ed1a7e8c8617489c27c5f7df05154f4f126b4ae4,Junior -mid level Finaniacl Technology start-up. Work directly with founders.,Developers/Programmers,(Information & Communication Technology),(Remote),This is a Full time job,4
Software Engineer,Microsoft,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90611165?type=standard&ref=search-standalone&origin=jobCard#sol=153ee816bd868ef89db1f0c074b691324f483f49,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Software Engineer – 3D Processing Systems,The Onset,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90437509?type=standard&ref=search-standalone&origin=jobCard#sol=e8c86a76457e08e0714d72833980fcca295f492d,Own and scale a high-performance 3D processing engine powering real-world spatial computation,Engineering - Software,(Information & Communication Technology),,This is a Full time job,4
Backend Developer - 12 Month Contract,Stockland,Sydney NSW,Listed fifteen days ago,https://www.seek.com.au/job/90353143?type=standard&ref=search-standalone&origin=jobCard#sol=77f17d0587db18f1ca24356aa5c0d71d6f8c7975,"Backend Developer needed to build scalable Python APIs for Stockland's digital products. 12‑month contract, Sydney or Melbourne.",Developers/Programmers,(Information & Communication Technology),(Hybrid),,0
Senior Full-Stack/AI Engineer,Sterling Black,Sydney NSW,Listed thirteen minutes ago,https://www.seek.com.au/job/90673590?type=standard&ref=search-standalone&origin=jobCard#sol=5371b31994c07980005372227033607f69ced18f,"As our founding engineer, own everything from full‑stack build to AI workflows—your standards and decisions will shape the company’s future.",Engineering - Software,(Information & Communication Technology),,This is a Full time job,0
Graduate Firmware Engineer,Finisar,Rosebery,Listed two hours ago,https://www.seek.com.au/job/90670941?type=standard&ref=search-standalone&origin=jobCard#sol=136dd1ce19387d606a15184274e0eca47bd9a935,"If you’re a super-smart firmware engineer, and you love using embedded systems to solve complex real-world problems, you’d love working at Finisar.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,4
Senior Databricks Engineer (Sydney Based),UpperGround by Hudson,Sydney NSW,Listed nineteen hours ago,https://www.seek.com.au/job/90651924?type=standard&ref=search-standalone&origin=jobCard#sol=a0107f2b4c8fe5bfe306c95598c8036725d4fa3e,"A senior, hands-on data engineering role in a small greenfield team, owning a Databricks on AWS platform.",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Software Engineer - Test,PM-Partners Group,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90588015?type=standard&ref=search-standalone&origin=jobCard#sol=5f5d7fd400d637a7b5f84ce3a4fb877fd212fba6,"We are looking for a curious, hands-on software engineer who thrives at the intersection of testing and development.",Engineering - Software,(Information & Communication Technology),,,4
Data Infrastructure Engineer,Life Trading Pty Ltd,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90428900?type=standard&ref=search-standalone&origin=jobCard#sol=491e3ad2036e7eea6abb3dc309c57031c8f8cbf1,"Data Infrastructure Engineer, playing a key role in architecting and maintaining a hybrid on-premises and cloud-based data platform.",Database Development & Administration,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90551605?type=standard&ref=search-standalone&origin=jobCard#sol=197370e6bdcaa12422211b7383267f29f3754e32,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Software Engineer,Microsoft,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90612100?type=standard&ref=search-standalone&origin=jobCard#sol=7bf368cccb5de28b77b655cd6228897d48c031b7,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Lead Software & Data Engineering Consultant,Sestra People Pty Ltd,Sydney NSW,Listed fifty one minutes ago,https://www.seek.com.au/job/90672650?type=standard&ref=search-standalone&origin=jobCard#sol=f52487a343d841ecf443fb98d1e89485b441e5d1,Exceptional Opportunity for a true Hybrid Software & Data Engineer in Sydney with a leading consultancy | Competitive Renumeration | Modern Technology,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
KONG API DEVELOPER,City People Solutions,Sydney NSW,Listed two days ago,https://www.seek.com.au/job/90630839?type=standard&ref=search-standalone&origin=jobCard#sol=c0cd821c20b19b82c346842fc56055cd7ab918d7,"The Kong API Developer will design and implement secure, scalable API gateways and integrations supporting SOI, IDAM, and platform initiatives",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,0
"Software Developer (Web, AI, RPA)",Suncorp,Sydney NSW,Listed eighteen days ago,https://www.seek.com.au/job/90300601?type=standard&ref=search-standalone&origin=jobCard#sol=dbe7116d4bcc3896e59111537a5cb866c11f9dfa,"Join a team creating practical, human centred automation and AI solutions that make insurance simpler, faster, and better for our customers.",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Data Engineer,Hydrogen Group Pty Ltd,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90608983?type=standard&ref=search-standalone&origin=jobCard#sol=43a511263413c76ec21e72ac93117ff22d6d986d,Excellent opportunity for a Senior Data Engineer to join a growing organisation on a greenfield project,Database Development & Administration,(Information & Communication Technology),,,2
Data Engineer,Hanwha Energy Australia Pty Ltd,North Sydney,,https://www.seek.com.au/job/90424146?type=promoted&ref=search-standalone&origin=jobCard#sol=ca550823d437e5a89a5c8a1761861c45d6eda98e,"Be part of a global business accelerating Australia’s transition to clean, affordable energy",Architects,(Information & Communication Technology),,This is a Full time job,1
Software Engineer 2,Microsoft,Sydney NSW,Listed ten days ago,https://www.seek.com.au/job/90461536?type=standard&ref=search-standalone&origin=jobCard#sol=d91bb6e3bcaf42ed1778622d8c59046901302917,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Developers/Programmers,(Information & Communication Technology),,This is a Full time job,3
Software Engineer 2,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90553049?type=standard&ref=search-standalone&origin=jobCard#sol=b8a32afb469ba373dd5d0404d6f025ba67bb6c36,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Developers/Programmers,(Information & Communication Technology),,This is a Full time job,3
"Data Analyst - Python, R & SQL - Office based North West Sydney",Limelight People,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90556145?type=standard&ref=search-standalone&origin=jobCard#sol=ee62d3d70919b804ccfd7cabf8552d64ca308000,"Join a purpose-driven organisation as a Data Analyst. Use your Python, R, and SQL skills to turn data into insights, support business decisions",Business/Systems Analysts,(Information & Communication Technology),,This is a Full time job,2
Software Engineer - Azure Databricks,Microsoft,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90612555?type=standard&ref=search-standalone&origin=jobCard#sol=553212c711f9a2768349d4573873241f9cf4592f,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Machine Learning Engineer - $120k + Bonus - Sydney (Hybrid),Nuage Technology Group,Sydney NSW,Listed fourteen days ago,https://www.seek.com.au/job/90366756?type=standard&ref=search-standalone&origin=jobCard#sol=e671a8ed2d7ae69cd113acf44c76153adc86be57,Nuage has partnered with a long standing client to help them find a Junior / Mid level Machine Learning Engineer from a Data Sci / Stats background,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Senior Data Engineers | Snowflake | Python,Billigence,Sydney NSW,Listed twenty seven days ago,https://www.seek.com.au/job/90113289?type=standard&ref=search-standalone&origin=jobCard#sol=75feeef941fcf613f13810334e245d90f71aa411,6 Month contract + extensions | Banking projects | Must be Sydney based | Hybrid model,Developers/Programmers,(Information & Communication Technology),(Hybrid),,2
Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90552837?type=standard&ref=search-standalone&origin=jobCard#sol=617923b5e010c766b97da0a885e9ce574de71bb7,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Software Developer,Let's Play Games,Wetherill Park,Listed eleven days ago,https://www.seek.com.au/job/90428532?type=standard&ref=search-standalone&origin=jobCard#sol=99631d1d1acccdfbeb3189ca297b4e93ecd3626b,"Full-time Software Developer. Maintain Shopify platform, Node.js backend & GCP. $80k–$100k + super, hybrid work. Work in tabletop gaming!",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,4
AI Engineer,Teachers Mutual Bank,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90244169?type=standard&ref=search-standalone&origin=jobCard#sol=4e02691beedf8c8be53003e48826d5b3fe04073b,"Build intelligent, scalable solutions that shape the future of our organisation.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Data Scientist - AI & NLP,Correlate Resources,Sydney NSW,Listed two days ago,https://www.seek.com.au/job/90629702?type=standard&ref=search-standalone&origin=jobCard#sol=d7cae3607fdf7015f562187ff7a6d8418ff76831,"Work on advanced NLP and ML initiatives, improving LLM outputs, implementing MLOps, and leveraging Python and SQL expertise to drive AI solutions","Mathematics, Statistics & Information Sciences",(Science & Technology),(Hybrid),This is a Full time job,4
Data Engineer,TheDriveGroup,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90575973?type=standard&ref=search-standalone&origin=jobCard#sol=52211a37b12dab6cf2ab9b870d65f7c5af845062,"Permanent role driving Open Banking for ASX-listed FS firm. Business-facing, high-impact project and long-term growth.",Database Development & Administration,(Information & Communication Technology),,This is a Full time job,2
Data & AI Engineer,Secure Parking Pty Ltd.,North Sydney,Listed four days ago,https://www.seek.com.au/job/90603585?type=standard&ref=search-standalone&origin=jobCard#sol=191e94dfd9ec203ec877d9ac3094ce618bcfb5e3,Are you a driven Data & AI Engineer ready to shape the future of intelligent data platforms?,Engineering - Software,(Information & Communication Technology),,This is a Full time job,2
Data Engineer - Databricks,FinXL IT Professional Services,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90560614?type=standard&ref=search-standalone&origin=jobCard#sol=b85f35bc691917aecac11dec0aab143739200d58,We are currently seeking a Data Engineer with Databricks & Java to join our consulting practice- to be deployed within a leading Financial organisatio,Developers/Programmers,(Information & Communication Technology),(Hybrid),,2
Senior Software Engineer,Billigence,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90434658?type=standard&ref=search-standalone&origin=jobCard#sol=1607b95196260e89a73dfd1111e4c56e80d04e72,"Global organisation | Hybrid model, 2 days in the Sydney office | Positive, friendly team environment | Career growth opportunities",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Principal Software Engineer - Azure Storage team,Microsoft,Sydney NSW,Listed ten days ago,https://www.seek.com.au/job/90462201?type=standard&ref=search-standalone&origin=jobCard#sol=1cb1dd9f6bee297c447ab58eb2feab2e3a66bda1,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Senior Objectstar Software Engineer (Developer),Calleo,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90574977?type=standard&ref=search-standalone&origin=jobCard#sol=e0fc936c210586604d4d5829860aaf6e0cba73d2,Developing and supporting Objectstar applications.,Database Development & Administration,(Information & Communication Technology),,,4
Senior Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90552683?type=standard&ref=search-standalone&origin=jobCard#sol=1252b23346de8dd1d82cb070b2835df4d4efd573,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Software Engineer II - Scenarios Validation,Microsoft,Sydney NSW,Listed fourteen days ago,https://www.seek.com.au/job/90362979?type=standard&ref=search-standalone&origin=jobCard#sol=5a3142fc1ad5a5645c846b9f8c6b6322618be7e8,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Staff Data Scientist,Future Secure AI Pty Ltd,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90609653?type=standard&ref=search-standalone&origin=jobCard#sol=457c32dd9e36f1090058e46419a63d34c14aeb22,Shape the future of AI alongside world‑class technical and commercial leaders.,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Senior AI Solutions Developer,Galileo Search,Sydney NSW,,https://www.seek.com.au/job/90150826?type=promoted&ref=search-standalone&origin=jobCard#sol=fbf02bffd13cffb31369b8487f23be210c99b3bc,AI Developer This isn't a research/data science role. It's about shipping production AI solutions that work. reliably within Microsoft/.NET ecosystem.,Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Senior Data Engineer - GCP/Snowflake/Databricks,Simplyai,Sydney NSW,,https://www.seek.com.au/job/90464324?type=promoted&ref=search-standalone&origin=jobCard#sol=dd0eae49ea819022f22699852fef9af2ba2225ae,Design cutting-edge data pipelines using GCP/Snowflake/Databricks. Collaborate with talented team. Grow your career at leading AI provider.,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Enterprise Data Warehouse Engineer,Recruitment Hive,Sydney NSW,Listed twenty four days ago,https://www.seek.com.au/job/90173682?type=standard&ref=search-standalone&origin=jobCard#sol=49c8514124c0d58315e1ad963502cc20d26d922d,4+ years exp req - Develop & Enhance reusable ETL Patterns - Python | SQL - Snowflake or Teradata - Greenfield DevOps! - Call Daniel (02) 6299 1006,Database Development & Administration,(Information & Communication Technology),(Hybrid),,2
Software Developer,Assure Programs,North Sydney,Listed ten days ago,https://www.seek.com.au/job/90461891?type=standard&ref=search-standalone&origin=jobCard#sol=60278c3c457c46f67bf28c7dffb68ec7995756fc,A great opportunity to join a supportive Development Team to with a common passion for using technology to improve wellbeing. Permanent Full-Time role,Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Application Support Engineer,Plenti,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90614750?type=standard&ref=search-standalone&origin=jobCard#sol=4eac46bf49923b1cbc4a07902ccfea52aa18a1dd,"Join Plenti as an Application Support Engineer, tackling complex technical issues, bridging teams, and driving solutions from diagnosis to resolution!",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,1
Technical Analyst,FlexTrade,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90623459?type=standard&ref=search-standalone&origin=jobCard#sol=0671f5dcbbc05742099b791a1cd946b3b90062ea,"Looking for a tech-savvy analyst skilled in Linux, scripting & client support, delivering reliable trading solutions and seamless issue resolution.",Business/Systems Analysts,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Senior Full Stack Developer,Aurec,Haymarket,Listed twenty six days ago,https://www.seek.com.au/job/90126904?type=standard&ref=search-standalone&origin=jobCard#sol=8f11a5427543a2b3559ff5c9dd77231642ef571c,NSW Gov seeking a Senior Full Stack Developer to lead the build of robust Python/Django/React platforms for high-stakes Cyber Security initiatives.,Developers/Programmers,(Information & Communication Technology),(Hybrid),,0
Senior Software Engineer- ML & Data Pipelines,Correlate Resources,Sydney NSW,Listed eighteen days ago,https://www.seek.com.au/job/90302689?type=standard&ref=search-standalone&origin=jobCard#sol=5007b7448a2de50c45a4eb268a23c1bbcd00346b,Be part of a fast-growing fintech scale-up shaping the future of data-driven financial systems. Build and scale software and data pipelines.,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Software Engineer II - Azure Data Lake Storage Gen 2,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90327125?type=standard&ref=search-standalone&origin=jobCard#sol=16abdf2027743dee581836a966f3710b9bd2b8c4,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
